dataset_name,column_name,data_type,missing_values,unique_values
customers,customer_id,str,0,99441
customers,customer_unique_id,str,0,96096
customers,customer_zip_code_prefix,int64,0,14994
customers,customer_city,str,0,4119
customers,customer_state,str,0,27
geolocation,geolocation_zip_code_prefix,int64,0,19015
geolocation,geolocation_lat,float64,0,717360
geolocation,geolocation_lng,float64,0,717613
geolocation,geolocation_city,str,0,8011
geolocation,geolocation_state,str,0,27
order_items,order_id,str,0,98666
order_items,order_item_id,int64,0,21
order_items,product_id,str,0,32951
order_items,seller_id,str,0,3095
order_items,shipping_limit_date,str,0,93318
order_items,price,float64,0,5968
order_items,freight_value,float64,0,6999
order_payments,order_id,str,0,99440
order_payments,payment_sequential,int64,0,29
order_payments,payment_type,str,0,5
order_payments,payment_installments,int64,0,24
order_payments,payment_value,float64,0,29077
order_reviews,review_id,str,0,98410
order_reviews,order_id,str,0,98673
order_reviews,review_score,int64,0,5
order_reviews,review_comment_title,str,87656,4527
order_reviews,review_comment_message,str,58247,36159
order_reviews,review_creation_date,str,0,636
order_reviews,review_answer_timestamp,str,0,98248
orders,order_id,str,0,99441
orders,customer_id,str,0,99441
orders,order_status,str,0,8
orders,order_purchase_timestamp,str,0,98875
orders,order_approved_at,str,160,90733
orders,order_delivered_carrier_date,str,1783,81018
orders,order_delivered_customer_date,str,2965,95664
orders,order_estimated_delivery_date,str,0,459
products,product_id,str,0,32951
products,product_category_name,str,610,73
products,product_name_lenght,float64,610,66
products,product_description_lenght,float64,610,2960
products,product_photos_qty,float64,610,19
products,product_weight_g,float64,2,2204
products,product_length_cm,float64,2,99
products,product_height_cm,float64,2,102
products,product_width_cm,float64,2,95
sellers,seller_id,str,0,3095
sellers,seller_zip_code_prefix,int64,0,2246
sellers,seller_city,str,0,611
sellers,seller_state,str,0,23
category_translation,product_category_name,str,0,71
category_translation,product_category_name_english,str,0,71
